Años_Experiencia,Edad,Nivel_Educativo,Industria,Departamento,Tasa_Rotación,Crecimiento_Empresa,Demanda_Actual_Talento,Demanda_Futura_Talento,Satisfaccion_Laboral,Genero,Salario_Anual
3.2,43.0,Técnico,Finanzas,Operaciones,0.061,0.086,14,15,4,Masculino,30000
3.5,43.0,Técnico,Salud,Ventas,0.073,0.067,44,48,3,Otro,33000
7.5,39.0,Secundaria,Finanzas,Ventas,0.072,0.025,6,6,4,Femenino,28000
7.2,32.0,Secundaria,Finanzas,Recursos Humanos,0.06,0.039,49,52,5,Masculino,25000
6.2,41.0,Postgrado,Tecnología,Desarrollo,0.114,0.081,43,49,1,Masculino,65000
2.8,34.0,Universitario,Finanzas,Ventas,0.249,0.025,31,39,3,Masculino,46000
4.4,26.0,Técnico,Manufactura,Operaciones,0.12,0.072,13,15,2,Femenino,30000
7.4,32.0,Técnico,Manufactura,Desarrollo,0.202,0.061,43,52,4,Femenino,34000
5.3,36.0,Postgrado,Educación,Operaciones,0.076,0.023,5,5,1,Masculino,79000
9.6,42.0,Postgrado,Salud,Operaciones,0.141,0.072,37,43,1,Femenino,79000
5.8,34.0,Técnico,Salud,Operaciones,0.087,0.023,42,46,2,Masculino,36000
5.4,25.0,Técnico,Tecnología,Desarrollo,0.088,0.046,37,41,1,Masculino,31000
4.4,35.0,Secundaria,Salud,Finanzas,0.07,0.038,7,7,2,Femenino,24000
5.3,36.0,Universitario,Educación,Operaciones,0.136,0.072,36,42,2,Femenino,42000
4.7,36.0,Técnico,Manufactura,Recursos Humanos,0.065,0.08,17,18,4,Otro,31000
6.4,42.0,Postgrado,Tecnología,Ventas,0.232,0.025,25,31,1,Otro,75000
6.9,43.0,Secundaria,Manufactura,Ventas,0.14,0.083,8,9,5,Femenino,20000
3.4,30.0,Secundaria,Educación,Ventas,0.218,0.011,21,25,5,Femenino,24000
2.3,30.0,Postgrado,Tecnología,Desarrollo,0.246,0.058,46,58,4,Femenino,71000
1.3,27.0,Postgrado,Finanzas,Recursos Humanos,0.186,0.057,8,9,4,Femenino,64000
6.0,41.0,Secundaria,Salud,Recursos Humanos,0.23,0.066,24,30,2,Masculino,23000
2.8,47.0,Postgrado,Educación,Recursos Humanos,0.077,0.032,16,17,5,Masculino,75000
0.7,32.0,Secundaria,Tecnología,Recursos Humanos,0.216,0.011,30,36,1,Otro,21000
5.8,33.0,Postgrado,Manufactura,Recursos Humanos,0.104,0.051,49,55,5,Femenino,72000
10.0,47.0,Secundaria,Tecnología,Finanzas,0.145,0.016,40,46,4,Otro,23000
5.0,39.0,Técnico,Finanzas,Recursos Humanos,0.179,0.09,20,24,4,Femenino,34000
6.7,38.0,Técnico,Educación,Recursos Humanos,0.231,0.026,11,13,2,Femenino,38000
5.2,25.0,Postgrado,Tecnología,Desarrollo,0.232,0.048,37,46,1,Femenino,75000
4.8,40.0,Universitario,Educación,Desarrollo,0.068,0.049,6,6,4,Masculino,42000
6.8,28.0,Técnico,Educación,Recursos Humanos,0.123,0.06,37,42,1,Otro,30000
4.4,26.0,Secundaria,Manufactura,Finanzas,0.209,0.08,18,22,5,Femenino,23000
5.5,32.0,Universitario,Salud,Recursos Humanos,0.191,0.052,24,29,2,Otro,49000
5.6,30.0,Secundaria,Finanzas,Recursos Humanos,0.055,0.012,41,43,5,Otro,25000
3.7,33.0,Secundaria,Tecnología,Recursos Humanos,0.14,0.079,31,36,4,Masculino,26000
7.0,23.0,Técnico,Salud,Operaciones,0.216,0.017,46,56,4,Masculino,33000
4.7,43.0,Postgrado,Manufactura,Finanzas,0.198,0.068,25,30,1,Femenino,63000
3.5,44.0,Postgrado,Salud,Ventas,0.132,0.082,6,7,4,Otro,60000
6.1,19.0,Secundaria,Educación,Recursos Humanos,0.197,0.035,47,57,1,Masculino,24000
3.2,43.0,Técnico,Educación,Ventas,0.16,0.05,20,23,3,Otro,32000
5.1,29.0,Secundaria,Finanzas,Finanzas,0.233,0.011,23,28,4,Otro,27000
5.0,42.0,Universitario,Tecnología,Recursos Humanos,0.167,0.082,8,9,5,Femenino,44000
7.2,34.0,Secundaria,Tecnología,Ventas,0.13,0.073,14,16,5,Otro,26000
5.9,35.0,Técnico,Manufactura,Ventas,0.223,0.031,26,32,1,Masculino,37000
4.9,34.0,Secundaria,Finanzas,Finanzas,0.06,0.045,16,17,3,Femenino,27000
6.6,45.0,Técnico,Tecnología,Recursos Humanos,0.23,0.073,6,7,4,Femenino,31000
7.8,25.0,Postgrado,Educación,Operaciones,0.189,0.042,6,7,2,Femenino,74000
6.1,40.0,Técnico,Finanzas,Finanzas,0.238,0.025,45,56,2,Masculino,31000
5.0,44.0,Universitario,Salud,Operaciones,0.1,0.057,48,54,5,Femenino,52000
2.4,41.0,Técnico,Finanzas,Recursos Humanos,0.189,0.075,38,46,4,Otro,39000
2.9,54.0,Universitario,Finanzas,Ventas,0.212,0.039,22,27,2,Femenino,52000
4.4,31.0,Universitario,Tecnología,Finanzas,0.19,0.021,20,24,1,Masculino,42000
3.8,43.0,Secundaria,Manufactura,Finanzas,0.092,0.085,23,26,4,Masculino,29000
4.6,34.0,Universitario,Manufactura,Finanzas,0.105,0.033,29,32,5,Femenino,40000
5.1,45.0,Técnico,Tecnología,Desarrollo,0.163,0.056,34,40,3,Otro,37000
6.1,35.0,Postgrado,Tecnología,Recursos Humanos,0.139,0.072,10,11,1,Masculino,65000
4.9,32.0,Técnico,Tecnología,Desarrollo,0.197,0.039,31,37,1,Masculino,32000
6.0,45.0,Postgrado,Manufactura,Finanzas,0.126,0.068,19,22,4,Masculino,72000
5.1,31.0,Universitario,Tecnología,Finanzas,0.222,0.051,35,43,3,Femenino,40000
1.0,24.0,Secundaria,Salud,Operaciones,0.136,0.061,48,56,1,Masculino,22000
3.1,31.0,Universitario,Salud,Desarrollo,0.058,0.063,26,28,3,Masculino,45000
4.7,40.0,Universitario,Educación,Ventas,0.053,0.084,16,17,5,Masculino,40000
2.6,46.0,Postgrado,Salud,Recursos Humanos,0.179,0.069,14,16,1,Femenino,76000
6.2,36.0,Técnico,Finanzas,Ventas,0.158,0.034,25,29,2,Masculino,30000
8.1,46.0,Secundaria,Educación,Ventas,0.159,0.015,35,40,5,Masculino,24000
7.4,24.0,Secundaria,Salud,Recursos Humanos,0.208,0.01,40,48,5,Femenino,23000
4.6,31.0,Secundaria,Finanzas,Finanzas,0.125,0.091,14,16,1,Femenino,27000
8.0,33.0,Secundaria,Salud,Operaciones,0.249,0.095,23,29,2,Otro,21000
5.3,34.0,Técnico,Finanzas,Finanzas,0.239,0.018,27,33,3,Masculino,35000
4.3,36.0,Secundaria,Tecnología,Finanzas,0.053,0.054,14,15,2,Femenino,27000
3.8,41.0,Postgrado,Finanzas,Desarrollo,0.229,0.024,31,38,5,Otro,60000
4.4,31.0,Postgrado,Tecnología,Ventas,0.186,0.095,47,57,1,Masculino,62000
4.2,36.0,Secundaria,Finanzas,Ventas,0.15,0.032,6,6,2,Femenino,20000
5.3,35.0,Secundaria,Finanzas,Ventas,0.167,0.055,15,17,2,Femenino,26000
5.3,28.0,Técnico,Salud,Operaciones,0.218,0.025,12,14,5,Masculino,30000
5.0,34.0,Técnico,Finanzas,Operaciones,0.24,0.04,23,28,3,Masculino,38000
5.9,34.0,Secundaria,Salud,Operaciones,0.162,0.034,20,23,2,Otro,27000
7.4,34.0,Técnico,Finanzas,Recursos Humanos,0.086,0.053,8,8,2,Masculino,32000
6.9,35.0,Universitario,Manufactura,Operaciones,0.178,0.048,18,21,4,Masculino,51000
2.0,36.0,Secundaria,Educación,Desarrollo,0.065,0.04,26,28,5,Masculino,23000
0.0,32.0,Técnico,Salud,Desarrollo,0.177,0.02,21,24,4,Femenino,38000
6.9,45.0,Postgrado,Salud,Finanzas,0.212,0.054,47,58,5,Otro,76000
2.3,26.0,Secundaria,Tecnología,Finanzas,0.121,0.087,30,34,5,Otro,20000
4.6,29.0,Secundaria,Manufactura,Finanzas,0.064,0.076,39,42,4,Otro,22000
2.7,57.0,Postgrado,Tecnología,Finanzas,0.188,0.075,40,49,3,Femenino,61000
1.4,27.0,Postgrado,Manufactura,Desarrollo,0.118,0.043,49,55,3,Masculino,76000
6.1,24.0,Técnico,Manufactura,Finanzas,0.1,0.074,34,38,5,Femenino,34000
6.5,41.0,Postgrado,Finanzas,Desarrollo,0.188,0.052,25,30,4,Otro,70000
3.8,18.0,Universitario,Tecnología,Operaciones,0.244,0.024,24,30,2,Masculino,58000
0.0,33.0,Secundaria,Educación,Operaciones,0.199,0.048,46,56,5,Masculino,26000
3.9,52.0,Universitario,Manufactura,Recursos Humanos,0.148,0.022,30,34,5,Otro,47000
5.8,23.0,Técnico,Manufactura,Finanzas,0.17,0.02,16,18,1,Masculino,39000
2.0,19.0,Postgrado,Salud,Operaciones,0.078,0.012,12,13,3,Femenino,65000
5.4,23.0,Secundaria,Finanzas,Operaciones,0.213,0.035,39,47,4,Otro,24000
5.0,42.0,Postgrado,Educación,Ventas,0.171,0.04,33,39,2,Femenino,74000
6.2,44.0,Postgrado,Manufactura,Ventas,0.243,0.073,46,58,2,Masculino,69000
5.2,31.0,Técnico,Salud,Desarrollo,0.246,0.058,11,14,5,Otro,34000
3.1,40.0,Técnico,Tecnología,Recursos Humanos,0.121,0.087,14,16,2,Masculino,30000
7.4,46.0,Técnico,Manufactura,Ventas,0.248,0.026,43,54,2,Otro,35000
4.7,49.0,Técnico,Salud,Recursos Humanos,0.241,0.034,24,30,5,Otro,35000
4.9,33.0,Secundaria,Tecnología,Operaciones,0.178,0.095,32,39,3,Otro,22000
3.1,18.0,Universitario,Finanzas,Desarrollo,0.117,0.05,18,20,1,Otro,59000
4.1,28.0,Universitario,Tecnología,Recursos Humanos,0.201,0.081,16,19,3,Otro,59000
3.2,32.0,Secundaria,Manufactura,Ventas,0.104,0.054,12,13,3,Masculino,25000
4.7,33.0,Postgrado,Educación,Operaciones,0.176,0.052,11,13,1,Otro,73000
8.4,33.0,Secundaria,Tecnología,Finanzas,0.055,0.023,9,9,5,Femenino,27000
2.3,44.0,Universitario,Educación,Operaciones,0.176,0.087,5,6,3,Otro,52000
1.8,45.0,Universitario,Educación,Ventas,0.24,0.017,13,16,4,Femenino,52000
7.9,34.0,Secundaria,Tecnología,Ventas,0.097,0.038,48,53,4,Masculino,28000
4.6,44.0,Técnico,Finanzas,Finanzas,0.206,0.071,22,27,1,Otro,38000
3.7,38.0,Postgrado,Tecnología,Operaciones,0.109,0.056,47,53,4,Otro,67000
7.1,36.0,Secundaria,Salud,Recursos Humanos,0.192,0.089,46,56,5,Femenino,29000
3.8,42.0,Universitario,Educación,Recursos Humanos,0.19,0.014,14,16,2,Otro,59000
8.7,36.0,Técnico,Manufactura,Operaciones,0.087,0.068,5,5,5,Masculino,33000
6.4,51.0,Postgrado,Educación,Recursos Humanos,0.169,0.053,24,28,1,Masculino,62000
4.0,23.0,Universitario,Manufactura,Operaciones,0.222,0.024,47,57,2,Otro,52000
9.3,31.0,Postgrado,Salud,Operaciones,0.127,0.077,33,38,4,Femenino,67000
3.8,34.0,Técnico,Salud,Ventas,0.192,0.047,6,7,3,Masculino,37000
6.5,39.0,Universitario,Salud,Desarrollo,0.185,0.058,30,36,4,Otro,48000
5.6,45.0,Técnico,Tecnología,Ventas,0.102,0.097,15,17,5,Femenino,30000
7.6,35.0,Secundaria,Educación,Recursos Humanos,0.234,0.054,29,36,5,Femenino,23000
8.1,24.0,Secundaria,Manufactura,Desarrollo,0.163,0.084,38,45,1,Masculino,25000
5.1,42.0,Postgrado,Salud,Operaciones,0.121,0.079,45,52,3,Otro,63000
3.5,41.0,Técnico,Salud,Recursos Humanos,0.083,0.07,5,5,3,Masculino,32000
5.9,19.0,Técnico,Manufactura,Finanzas,0.145,0.091,35,41,2,Femenino,31000
3.6,35.0,Postgrado,Educación,Recursos Humanos,0.196,0.033,42,50,2,Masculino,62000
9.0,22.0,Postgrado,Educación,Desarrollo,0.175,0.084,26,31,5,Otro,79000
5.3,30.0,Postgrado,Manufactura,Desarrollo,0.195,0.044,6,7,1,Masculino,76000
4.3,28.0,Secundaria,Finanzas,Operaciones,0.208,0.083,5,6,5,Femenino,20000
5.4,41.0,Postgrado,Educación,Finanzas,0.138,0.054,28,32,3,Masculino,70000
2.3,36.0,Secundaria,Manufactura,Operaciones,0.154,0.087,40,47,3,Femenino,23000
3.1,25.0,Postgrado,Manufactura,Finanzas,0.247,0.091,49,63,5,Femenino,69000
7.4,42.0,Técnico,Salud,Finanzas,0.244,0.064,40,51,3,Femenino,33000
3.7,24.0,Técnico,Manufactura,Operaciones,0.133,0.056,38,44,2,Masculino,35000
2.9,38.0,Postgrado,Tecnología,Recursos Humanos,0.187,0.08,13,15,3,Otro,61000
6.1,28.0,Postgrado,Salud,Ventas,0.104,0.034,16,17,2,Femenino,66000
7.4,32.0,Secundaria,Salud,Finanzas,0.081,0.011,24,26,4,Masculino,20000
6.4,39.0,Universitario,Educación,Desarrollo,0.204,0.047,8,9,1,Femenino,47000
7.0,39.0,Secundaria,Finanzas,Operaciones,0.137,0.056,19,22,1,Masculino,25000
3.5,46.0,Técnico,Educación,Recursos Humanos,0.085,0.037,8,8,3,Femenino,38000
2.2,34.0,Postgrado,Tecnología,Finanzas,0.202,0.045,9,11,1,Masculino,63000
8.0,37.0,Técnico,Salud,Recursos Humanos,0.233,0.022,14,17,4,Femenino,31000
4.4,31.0,Universitario,Salud,Operaciones,0.237,0.035,48,60,3,Femenino,47000
4.5,36.0,Secundaria,Manufactura,Desarrollo,0.169,0.032,48,56,2,Femenino,21000
7.7,39.0,Técnico,Finanzas,Finanzas,0.146,0.037,44,51,4,Otro,37000
6.1,34.0,Secundaria,Finanzas,Finanzas,0.078,0.037,40,43,4,Masculino,27000
5.9,21.0,Postgrado,Manufactura,Recursos Humanos,0.209,0.06,39,48,1,Otro,64000
9.3,38.0,Técnico,Tecnología,Operaciones,0.239,0.033,5,6,2,Masculino,36000
3.7,38.0,Universitario,Finanzas,Ventas,0.228,0.095,22,28,5,Femenino,43000
6.9,30.0,Secundaria,Salud,Finanzas,0.2,0.056,35,42,4,Masculino,25000
5.1,25.0,Secundaria,Tecnología,Desarrollo,0.051,0.022,10,10,1,Masculino,29000
5.5,47.0,Universitario,Educación,Finanzas,0.132,0.035,10,11,4,Femenino,45000
8.1,39.0,Técnico,Educación,Finanzas,0.132,0.076,46,53,2,Femenino,35000
6.0,33.0,Técnico,Tecnología,Ventas,0.229,0.011,23,28,2,Femenino,38000
6.1,26.0,Secundaria,Salud,Ventas,0.063,0.094,36,39,3,Masculino,21000
7.1,28.0,Universitario,Educación,Operaciones,0.156,0.05,46,54,5,Femenino,54000
4.3,45.0,Secundaria,Salud,Finanzas,0.077,0.057,34,37,5,Femenino,27000
3.3,36.0,Secundaria,Manufactura,Finanzas,0.182,0.099,30,36,1,Masculino,20000
2.9,31.0,Postgrado,Finanzas,Recursos Humanos,0.208,0.055,7,8,5,Otro,73000
1.1,39.0,Técnico,Tecnología,Recursos Humanos,0.178,0.095,37,45,2,Masculino,31000
9.1,28.0,Técnico,Finanzas,Desarrollo,0.209,0.092,35,43,5,Masculino,33000
2.8,47.0,Postgrado,Manufactura,Desarrollo,0.171,0.095,24,29,1,Masculino,60000
4.6,46.0,Técnico,Educación,Recursos Humanos,0.088,0.083,8,9,4,Femenino,36000
4.4,31.0,Técnico,Salud,Desarrollo,0.127,0.037,36,41,5,Masculino,35000
5.6,30.0,Técnico,Salud,Finanzas,0.241,0.041,22,27,5,Otro,34000
6.6,18.0,Universitario,Manufactura,Ventas,0.108,0.043,14,15,2,Masculino,54000
6.7,23.0,Postgrado,Tecnología,Finanzas,0.063,0.098,26,28,2,Masculino,75000
3.8,24.0,Secundaria,Finanzas,Recursos Humanos,0.127,0.042,21,24,4,Femenino,25000
4.7,36.0,Universitario,Educación,Operaciones,0.123,0.02,46,52,3,Femenino,47000
5.6,32.0,Secundaria,Tecnología,Operaciones,0.144,0.08,8,9,5,Otro,25000
4.5,24.0,Postgrado,Manufactura,Recursos Humanos,0.162,0.043,41,48,2,Masculino,64000
8.2,33.0,Postgrado,Manufactura,Finanzas,0.248,0.066,11,14,3,Masculino,65000
6.0,39.0,Postgrado,Salud,Desarrollo,0.201,0.093,12,14,5,Masculino,60000
6.5,39.0,Técnico,Educación,Desarrollo,0.057,0.062,5,5,5,Masculino,32000
6.3,20.0,Universitario,Tecnología,Operaciones,0.193,0.067,12,14,3,Masculino,58000
7.3,34.0,Postgrado,Salud,Recursos Humanos,0.215,0.068,23,28,2,Masculino,74000
5.4,24.0,Secundaria,Educación,Recursos Humanos,0.229,0.065,21,26,4,Femenino,22000
2.4,42.0,Técnico,Finanzas,Ventas,0.135,0.024,45,51,5,Otro,35000
5.8,41.0,Técnico,Finanzas,Operaciones,0.113,0.051,13,14,1,Masculino,38000
3.7,28.0,Universitario,Salud,Recursos Humanos,0.218,0.011,20,24,1,Masculino,44000
3.9,29.0,Universitario,Tecnología,Ventas,0.206,0.066,49,60,1,Femenino,55000
6.2,31.0,Universitario,Educación,Desarrollo,0.157,0.062,41,48,4,Masculino,48000
7.5,18.0,Técnico,Finanzas,Operaciones,0.074,0.039,31,33,5,Femenino,38000
5.0,38.0,Postgrado,Finanzas,Operaciones,0.18,0.057,6,7,2,Otro,74000
5.6,33.0,Secundaria,Tecnología,Recursos Humanos,0.063,0.054,40,43,2,Masculino,25000
8.4,43.0,Postgrado,Salud,Recursos Humanos,0.07,0.033,16,17,4,Otro,67000
5.5,26.0,Secundaria,Manufactura,Finanzas,0.116,0.036,39,44,5,Masculino,28000
10.2,30.0,Postgrado,Educación,Desarrollo,0.124,0.079,35,40,3,Otro,67000
6.1,23.0,Universitario,Finanzas,Desarrollo,0.142,0.078,23,27,3,Otro,43000
1.5,27.0,Secundaria,Manufactura,Ventas,0.118,0.052,30,34,5,Masculino,27000
6.5,26.0,Técnico,Tecnología,Ventas,0.057,0.075,40,43,5,Otro,31000
5.8,43.0,Secundaria,Salud,Finanzas,0.081,0.051,8,8,2,Femenino,22000
7.6,29.0,Técnico,Educación,Desarrollo,0.073,0.087,47,52,4,Femenino,38000
6.3,36.0,Postgrado,Tecnología,Ventas,0.136,0.04,35,40,4,Otro,63000
4.7,32.0,Universitario,Salud,Desarrollo,0.092,0.093,17,19,2,Otro,41000
2.6,25.0,Secundaria,Tecnología,Desarrollo,0.109,0.059,47,53,1,Femenino,22000
4.6,34.0,Técnico,Finanzas,Ventas,0.144,0.058,43,50,3,Masculino,36000
3.3,40.0,Postgrado,Finanzas,Recursos Humanos,0.097,0.07,8,9,5,Femenino,74000
3.8,25.0,Universitario,Manufactura,Recursos Humanos,0.099,0.041,44,49,3,Otro,46000
6.2,41.0,Universitario,Tecnología,Ventas,0.217,0.075,48,60,3,Femenino,47000
8.3,28.0,Universitario,Finanzas,Finanzas,0.16,0.039,17,20,4,Masculino,42000
5.8,31.0,Postgrado,Salud,Operaciones,0.221,0.046,45,55,2,Femenino,74000
2.6,39.0,Postgrado,Manufactura,Desarrollo,0.153,0.071,13,15,1,Masculino,60000
5.9,30.0,Postgrado,Educación,Operaciones,0.232,0.044,6,7,1,Otro,75000
7.4,35.0,Universitario,Tecnología,Ventas,0.101,0.028,39,43,2,Femenino,42000
3.8,32.0,Secundaria,Finanzas,Desarrollo,0.173,0.088,16,19,3,Femenino,21000
4.7,36.0,Técnico,Salud,Operaciones,0.151,0.093,21,25,2,Masculino,33000
5.0,18.0,Postgrado,Tecnología,Recursos Humanos,0.234,0.066,8,10,2,Femenino,73000
3.4,20.0,Secundaria,Salud,Finanzas,0.134,0.083,18,21,5,Femenino,28000
6.3,40.0,Técnico,Manufactura,Operaciones,0.221,0.099,25,31,5,Masculino,35000
4.8,43.0,Universitario,Finanzas,Finanzas,0.163,0.065,45,53,3,Femenino,48000
5.8,28.0,Secundaria,Finanzas,Recursos Humanos,0.192,0.092,12,14,4,Masculino,27000
3.2,33.0,Universitario,Manufactura,Operaciones,0.227,0.042,37,46,1,Otro,44000
4.1,37.0,Técnico,Salud,Ventas,0.249,0.073,49,63,5,Femenino,37000
6.4,41.0,Postgrado,Tecnología,Desarrollo,0.196,0.015,32,38,3,Masculino,61000
4.3,19.0,Universitario,Salud,Recursos Humanos,0.113,0.081,7,8,2,Masculino,56000
8.5,28.0,Secundaria,Tecnología,Finanzas,0.11,0.085,18,20,5,Femenino,22000
4.2,32.0,Postgrado,Manufactura,Finanzas,0.112,0.046,23,26,2,Masculino,79000
5.4,41.0,Secundaria,Educación,Recursos Humanos,0.07,0.068,10,11,2,Otro,26000
6.9,55.0,Técnico,Tecnología,Ventas,0.061,0.087,40,44,5,Otro,30000
2.2,33.0,Técnico,Finanzas,Ventas,0.166,0.09,24,29,3,Femenino,36000
1.5,24.0,Postgrado,Finanzas,Finanzas,0.212,0.02,5,6,1,Otro,78000
1.9,38.0,Secundaria,Finanzas,Recursos Humanos,0.057,0.084,14,15,3,Femenino,21000
7.5,46.0,Secundaria,Salud,Recursos Humanos,0.163,0.035,17,20,4,Femenino,28000
3.9,36.0,Secundaria,Salud,Desarrollo,0.124,0.075,16,18,4,Masculino,21000
10.1,28.0,Secundaria,Salud,Finanzas,0.228,0.039,15,18,1,Masculino,22000
3.9,43.0,Técnico,Finanzas,Ventas,0.079,0.015,40,43,4,Masculino,32000
5.4,40.0,Secundaria,Tecnología,Operaciones,0.163,0.029,21,24,2,Masculino,23000
8.1,27.0,Técnico,Finanzas,Ventas,0.244,0.047,33,41,4,Femenino,36000
9.0,38.0,Secundaria,Tecnología,Ventas,0.119,0.077,7,8,5,Masculino,26000
9.1,43.0,Secundaria,Salud,Operaciones,0.198,0.019,33,39,2,Masculino,28000
7.4,44.0,Universitario,Educación,Finanzas,0.226,0.083,14,17,3,Otro,47000
7.0,34.0,Universitario,Salud,Desarrollo,0.087,0.1,23,26,1,Femenino,45000
6.2,32.0,Secundaria,Manufactura,Ventas,0.249,0.081,8,10,5,Otro,24000
6.6,45.0,Técnico,Tecnología,Ventas,0.212,0.053,42,52,5,Otro,31000
3.9,25.0,Secundaria,Educación,Finanzas,0.078,0.061,16,17,1,Otro,25000
3.4,39.0,Universitario,Salud,Finanzas,0.112,0.011,35,39,4,Masculino,45000
5.0,24.0,Secundaria,Educación,Recursos Humanos,0.175,0.029,6,7,1,Femenino,24000
4.7,44.0,Universitario,Finanzas,Finanzas,0.227,0.091,5,6,1,Otro,53000
4.1,33.0,Secundaria,Tecnología,Finanzas,0.089,0.012,21,22,4,Otro,25000
6.4,45.0,Postgrado,Manufactura,Ventas,0.196,0.091,29,36,3,Femenino,79000
6.9,39.0,Secundaria,Finanzas,Desarrollo,0.104,0.02,9,10,1,Masculino,22000
5.2,25.0,Técnico,Educación,Ventas,0.211,0.022,18,21,4,Otro,30000
8.0,46.0,Universitario,Salud,Finanzas,0.187,0.026,14,16,5,Femenino,59000
2.7,47.0,Postgrado,Tecnología,Recursos Humanos,0.155,0.082,25,29,1,Masculino,66000
4.6,42.0,Universitario,Manufactura,Desarrollo,0.18,0.053,29,34,1,Masculino,46000
3.6,29.0,Universitario,Salud,Recursos Humanos,0.225,0.023,39,48,3,Masculino,53000
1.3,33.0,Técnico,Manufactura,Operaciones,0.127,0.072,7,8,3,Masculino,33000
4.8,36.0,Secundaria,Tecnología,Recursos Humanos,0.204,0.095,22,27,5,Masculino,26000
4.8,29.0,Técnico,Educación,Recursos Humanos,0.082,0.062,40,44,3,Femenino,31000
8.0,49.0,Secundaria,Manufactura,Finanzas,0.19,0.019,43,51,5,Masculino,27000
6.3,36.0,Postgrado,Tecnología,Finanzas,0.2,0.015,37,44,1,Otro,69000
3.0,18.0,Técnico,Manufactura,Finanzas,0.139,0.082,21,24,4,Femenino,37000
8.7,38.0,Técnico,Salud,Finanzas,0.209,0.066,44,54,3,Otro,38000
7.4,32.0,Universitario,Manufactura,Finanzas,0.161,0.093,10,12,5,Otro,44000
6.2,34.0,Técnico,Salud,Recursos Humanos,0.237,0.059,38,48,3,Masculino,39000
4.5,32.0,Secundaria,Salud,Operaciones,0.072,0.016,30,32,3,Masculino,27000
3.1,41.0,Técnico,Tecnología,Finanzas,0.076,0.046,46,50,2,Femenino,31000
4.3,44.0,Técnico,Finanzas,Operaciones,0.218,0.069,35,43,1,Femenino,39000
7.2,37.0,Postgrado,Manufactura,Operaciones,0.218,0.045,32,39,3,Otro,75000
8.8,32.0,Secundaria,Educación,Ventas,0.144,0.1,40,47,4,Masculino,28000
8.1,35.0,Universitario,Salud,Ventas,0.243,0.046,17,21,2,Masculino,45000
4.0,35.0,Secundaria,Finanzas,Desarrollo,0.186,0.059,25,30,5,Otro,25000
2.8,29.0,Postgrado,Salud,Ventas,0.247,0.03,30,37,5,Masculino,79000
5.3,40.0,Secundaria,Finanzas,Finanzas,0.156,0.024,35,40,4,Femenino,27000
1.5,39.0,Secundaria,Finanzas,Operaciones,0.09,0.068,20,22,4,Otro,26000
5.6,47.0,Técnico,Educación,Desarrollo,0.139,0.063,35,40,1,Masculino,38000
4.7,45.0,Técnico,Finanzas,Ventas,0.246,0.01,17,21,4,Otro,30000
4.1,30.0,Secundaria,Educación,Recursos Humanos,0.124,0.036,34,38,5,Masculino,29000
1.8,42.0,Secundaria,Tecnología,Desarrollo,0.241,0.068,36,45,1,Masculino,27000
6.0,27.0,Universitario,Salud,Finanzas,0.209,0.083,9,11,4,Masculino,48000
3.9,41.0,Postgrado,Educación,Operaciones,0.138,0.038,16,18,4,Femenino,66000
2.7,31.0,Técnico,Salud,Finanzas,0.158,0.068,43,51,5,Otro,38000
0.0,27.0,Técnico,Manufactura,Finanzas,0.171,0.034,45,53,1,Femenino,39000
4.9,37.0,Técnico,Tecnología,Recursos Humanos,0.183,0.072,41,49,2,Femenino,37000
8.5,18.0,Técnico,Manufactura,Recursos Humanos,0.065,0.073,8,8,2,Otro,38000
8.3,21.0,Secundaria,Manufactura,Operaciones,0.237,0.022,46,57,1,Otro,28000
4.1,34.0,Secundaria,Finanzas,Ventas,0.169,0.07,47,56,4,Masculino,20000
3.8,36.0,Universitario,Finanzas,Finanzas,0.236,0.04,33,41,4,Masculino,58000
5.9,32.0,Técnico,Manufactura,Ventas,0.176,0.026,45,53,1,Otro,35000
3.0,22.0,Técnico,Finanzas,Operaciones,0.136,0.055,9,10,2,Masculino,36000
5.6,28.0,Secundaria,Salud,Finanzas,0.163,0.051,15,17,3,Masculino,23000
6.5,38.0,Universitario,Finanzas,Ventas,0.216,0.08,34,42,5,Otro,49000
7.5,40.0,Secundaria,Manufactura,Finanzas,0.115,0.018,13,14,1,Femenino,21000
4.8,35.0,Técnico,Finanzas,Recursos Humanos,0.241,0.081,32,41,3,Otro,33000
4.6,44.0,Técnico,Finanzas,Recursos Humanos,0.143,0.02,26,29,5,Otro,35000
3.2,38.0,Postgrado,Educación,Desarrollo,0.241,0.029,15,18,3,Femenino,72000
3.3,29.0,Postgrado,Educación,Operaciones,0.226,0.056,25,31,3,Masculino,79000
4.5,33.0,Postgrado,Manufactura,Ventas,0.204,0.052,10,12,5,Femenino,69000
5.7,24.0,Universitario,Salud,Finanzas,0.143,0.099,30,35,3,Femenino,41000
6.8,34.0,Secundaria,Tecnología,Desarrollo,0.167,0.063,20,23,2,Otro,28000
3.4,44.0,Técnico,Tecnología,Operaciones,0.218,0.039,18,22,1,Masculino,30000
8.0,40.0,Técnico,Manufactura,Operaciones,0.159,0.091,39,46,2,Masculino,39000
4.5,46.0,Universitario,Salud,Operaciones,0.198,0.038,46,55,2,Femenino,55000
5.0,33.0,Técnico,Salud,Ventas,0.208,0.035,40,49,5,Otro,38000
3.5,46.0,Técnico,Salud,Recursos Humanos,0.153,0.054,26,30,5,Femenino,32000
